"행정구역","2023년10월_총인구수","2023년10월_세대수","2023년10월_세대당 인구","2023년10월_남자 인구수","2023년10월_여자 인구수","2023년10월_남여 비율"
"서울특별시 성동구 성수1가제1동(1120065000)","15,470","7,450","          2.08","7,697","7,773","          0.99"
"서울특별시 성동구 성수1가제2동(1120066000)","12,005","5,930","          2.02","5,875","6,130","          0.96"
"서울특별시 성동구 성수2가제1동(1120067000)","14,617","7,652","          1.91","7,577","7,040","          1.08"
"서울특별시 성동구 성수2가제3동(1120069000)","10,099","5,260","          1.92","5,039","5,060","          1.00"
"서울특별시 성동구 송정동(1120072000)","9,772","5,371","          1.82","5,128","4,644","          1.10"
"서울특별시 성동구 용답동(1120079000)","12,004","7,670","          1.57","6,178","5,826","          1.06"
"서울특별시 광진구 (1121500000)","336,294","170,271","          1.98","161,662","174,632","          0.93"
"서울특별시 광진구 화양동(1121571000)","23,369","18,277","          1.28","11,068","12,301","          0.90"
"서울특별시 광진구 군자동(1121573000)","19,153","11,356","          1.69","9,452","9,701","          0.97"
"서울특별시 광진구 중곡제1동(1121574000)","15,266","8,636","          1.77","7,242","8,024","          0.90"
"서울특별시 광진구 중곡제2동(1121575000)","20,606","10,589","          1.95","9,698","10,908","          0.89"
"서울특별시 광진구 중곡제3동(1121576000)","15,764","8,534","          1.85","7,776","7,988","          0.97"
"서울특별시 광진구 중곡제4동(1121577000)","27,599","13,062","          2.11","13,440","14,159","          0.95"
"서울특별시 광진구 능동(1121578000)","11,115","6,461","          1.72","5,080","6,035","          0.84"
"서울특별시 광진구 광장동(1121581000)","34,065","11,848","          2.88","16,493","17,572","          0.94"
"서울특별시 광진구 자양제1동(1121582000)","21,898","12,007","          1.82","10,596","11,302","          0.94"
"서울특별시 광진구 자양제2동(1121583000)","23,670","10,902","          2.17","11,504","12,166","          0.95"
"서울특별시 광진구 자양제3동(1121584000)","27,260","10,980","          2.48","13,020","14,240","          0.91"
"서울특별시 광진구 자양제4동(1121584700)","19,838","10,988","          1.81","9,808","10,030","          0.98"
"서울특별시 광진구 구의제1동(1121585000)","23,186","13,112","          1.77","11,082","12,104","          0.92"
"서울특별시 광진구 구의제2동(1121586000)","25,688","11,465","          2.24","12,275","13,413","          0.92"
"서울특별시 광진구 구의제3동(1121587000)","27,817","12,054","          2.31","13,128","14,689","          0.89"
"서울특별시 동대문구 (1123000000)","341,521","173,003","          1.97","167,569","173,952","          0.96"
"서울특별시 동대문구 용신동(1123053600)","38,430","21,717","          1.77","18,974","19,456","          0.98"
"서울특별시 동대문구 제기동(1123054500)","23,213","13,109","          1.77","11,893","11,320","          1.05"
"서울특별시 동대문구 전농제1동(1123056000)","31,784","15,886","          2.00","15,788","15,996","          0.99"
"서울특별시 동대문구 전농제2동(1123057000)","18,026","7,558","          2.39","8,592","9,434","          0.91"
"서울특별시 동대문구 답십리제1동(1123060000)","27,894","12,882","          2.17","13,417","14,477","          0.93"
"서울특별시 동대문구 답십리제2동(1123061000)","27,519","12,495","          2.20","13,280","14,239","          0.93"
