"행정구역","2023년10월_총인구수","2023년10월_세대수","2023년10월_세대당 인구","2023년10월_남자 인구수","2023년10월_여자 인구수","2023년10월_남여 비율"
"부산광역시 동래구 명장제2동(2626076200)","13,965","6,479","          2.16","6,782","7,183","          0.94"
"부산광역시 남구 (2629000000)","254,455","118,390","          2.15","124,031","130,424","          0.95"
"부산광역시 남구 대연제1동(2629051000)","15,466","9,332","          1.66","7,858","7,608","          1.03"
"부산광역시 남구 대연제3동(2629053000)","33,092","16,631","          1.99","16,209","16,883","          0.96"
"부산광역시 남구 대연제4동(2629054000)","12,582","5,721","          2.20","6,099","6,483","          0.94"
"부산광역시 남구 대연제5동(2629055000)","16,675","8,451","          1.97","7,983","8,692","          0.92"
"부산광역시 남구 대연제6동(2629056000)","14,804","5,855","          2.53","7,104","7,700","          0.92"
"부산광역시 남구 용호제1동(2629057000)","42,931","17,126","          2.51","20,535","22,396","          0.92"
"부산광역시 남구 용호제2동(2629058000)","19,514","8,121","          2.40","9,452","10,062","          0.94"
"부산광역시 남구 용호제3동(2629059000)","11,381","5,569","          2.04","5,492","5,889","          0.93"
"부산광역시 남구 용호제4동(2629060000)","7,787","3,672","          2.12","3,711","4,076","          0.91"
"부산광역시 남구 용당동(2629061000)","7,890","3,487","          2.26","3,990","3,900","          1.02"
"부산광역시 남구 감만제1동(2629062000)","9,070","4,190","          2.16","4,641","4,429","          1.05"
"부산광역시 남구 감만제2동(2629063000)","6,552","3,327","          1.97","3,214","3,338","          0.96"
"부산광역시 남구 우암동(2629064500)","12,346","5,751","          2.15","6,042","6,304","          0.96"
"부산광역시 남구 문현제1동(2629068000)","11,088","4,857","          2.28","5,454","5,634","          0.97"
"부산광역시 남구 문현제2동(2629069000)","7,905","4,875","          1.62","3,942","3,963","          0.99"
"부산광역시 남구 문현제3동(2629070000)","16,440","7,056","          2.33","7,978","8,462","          0.94"
"부산광역시 남구 문현제4동(2629071000)","8,932","4,369","          2.04","4,327","4,605","          0.94"
"부산광역시 북구 (2632000000)","274,481","123,164","          2.23","135,020","139,461","          0.97"
"부산광역시 북구 구포제1동(2632051000)","15,631","8,101","          1.93","7,829","7,802","          1.00"
"부산광역시 북구 구포제2동(2632052000)","23,875","11,554","          2.07","12,217","11,658","          1.05"
"부산광역시 북구 구포제3동(2632052100)","18,485","9,061","          2.04","9,510","8,975","          1.06"
"부산광역시 북구 금곡동(2632053000)","35,959","17,804","          2.02","17,364","18,595","          0.93"
"부산광역시 북구 화명제1동(2632054100)","40,255","14,351","          2.81","19,622","20,633","          0.95"
"부산광역시 북구 화명제2동(2632054200)","17,338","7,321","          2.37","8,401","8,937","          0.94"
"부산광역시 북구 화명제3동(2632054300)","28,624","10,746","          2.66","13,965","14,659","          0.95"
"부산광역시 북구 덕천제1동(2632055000)","11,888","6,609","          1.80","5,828","6,060","          0.96"
"부산광역시 북구 덕천제2동(2632056000)","11,314","6,530","          1.73","5,653","5,661","          1.00"
"부산광역시 북구 덕천제3동(2632056100)","10,158","5,496","          1.85","4,912","5,246","          0.94"
"부산광역시 북구 만덕제1동(2632057100)","16,449","7,133","          2.31","8,048","8,401","          0.96"
"부산광역시 북구 만덕제2동(2632057200)","26,686","11,118","          2.40","13,033","13,653","          0.95"
"부산광역시 북구 만덕제3동(2632057300)","17,819","7,340","          2.43","8,638","9,181","          0.94"
"부산광역시 해운대구 (2635000000)","381,466","169,820","          2.25","182,767","198,699","          0.92"
"부산광역시 해운대구 우제1동(2635051000)","22,173","10,824","          2.05","10,520","11,653","          0.90"
"부산광역시 해운대구 우제2동(2635052000)","30,079","11,886","          2.53","14,220","15,859","          0.90"
"부산광역시 해운대구 우제3동(2635052500)","27,995","10,856","          2.58","13,201","14,794","          0.89"
"부산광역시 해운대구 중제1동(2635053000)","27,227","12,226","          2.23","13,020","14,207","          0.92"
"부산광역시 해운대구 중제2동(2635054000)","15,176","7,259","          2.09","7,240","7,936","          0.91"
"부산광역시 해운대구 좌제1동(2635055100)","17,421","7,723","          2.26","8,121","9,300","          0.87"
"부산광역시 해운대구 좌제2동(2635055200)","30,808","14,131","          2.18","14,201","16,607","          0.86"
"부산광역시 해운대구 좌제3동(2635055300)","15,367","6,370","          2.41","7,180","8,187","          0.88"
"부산광역시 해운대구 좌제4동(2635055400)","22,305","8,539","          2.61","10,558","11,747","          0.90"
"부산광역시 해운대구 송정동(2635056000)","9,407","4,937","          1.91","4,541","4,866","          0.93"
"부산광역시 해운대구 반여제1동(2635057000)","34,519","13,422","          2.57","16,929","17,590","          0.96"
"부산광역시 해운대구 반여제2동(2635058000)","11,809","6,601","          1.79","5,751","6,058","          0.95"
"부산광역시 해운대구 반여제3동(2635059000)","7,938","4,453","          1.78","3,849","4,089","          0.94"
"부산광역시 해운대구 반여제4동(2635059500)","14,958","5,724","          2.61","7,341","7,617","          0.96"
"부산광역시 해운대구 반송제1동(2635061000)","12,774","7,622","          1.68","6,389","6,385","          1.00"
"부산광역시 해운대구 반송제2동(2635062000)","21,670","11,595","          1.87","10,523","11,147","          0.94"
"부산광역시 해운대구 재송제1동(2635065000)","36,908","14,639","          2.52","18,085","18,823","          0.96"
"부산광역시 해운대구 재송제2동(2635066000)","22,932","11,013","          2.08","11,098","11,834","          0.94"
"부산광역시 사하구 (2638000000)","298,815","140,951","          2.12","148,309","150,506","          0.99"
"부산광역시 사하구 괴정제1동(2638051000)","18,271","8,542","          2.14","8,714","9,557","          0.91"
"부산광역시 사하구 괴정제2동(2638052000)","15,224","6,949","          2.19","7,354","7,870","          0.93"
"부산광역시 사하구 괴정제3동(2638053000)","11,676","6,308","          1.85","5,565","6,111","          0.91"
"부산광역시 사하구 괴정제4동(2638054000)","15,171","6,617","          2.29","7,417","7,754","          0.96"
"부산광역시 사하구 당리동(2638055000)","24,478","10,958","          2.23","11,892","12,586","          0.94"
"부산광역시 사하구 하단제1동(2638056100)","21,456","10,947","          1.96","10,732","10,724","          1.00"
"부산광역시 사하구 하단제2동(2638056200)","25,143","13,494","          1.86","12,621","12,522","          1.01"
"부산광역시 사하구 신평제1동(2638057100)","15,839","7,967","          1.99","8,159","7,680","          1.06"
"부산광역시 사하구 신평제2동(2638057200)","17,319","7,548","          2.29","8,623","8,696","          0.99"
"부산광역시 사하구 장림제1동(2638058000)","10,193","4,819","          2.12","5,261","4,932","          1.07"
"부산광역시 사하구 장림제2동(2638059000)","26,155","11,735","          2.23","13,247","12,908","          1.03"
"부산광역시 사하구 다대제1동(2638060100)","36,853","16,780","          2.20","18,412","18,441","          1.00"
"부산광역시 사하구 다대제2동(2638060200)","25,855","11,988","          2.16","12,691","13,164","          0.96"
"부산광역시 사하구 구평동(2638061000)","12,459","5,103","          2.44","6,372","6,087","          1.05"
"부산광역시 사하구 감천제1동(2638062000)","17,303","8,010","          2.16","8,507","8,796","          0.97"
"부산광역시 사하구 감천제2동(2638063000)","5,420","3,186","          1.70","2,742","2,678","          1.02"
"부산광역시 금정구 (2641000000)","216,770","106,297","          2.04","105,792","110,978","          0.95"
"부산광역시 금정구 서제1동(2641051000)","4,703","2,907","          1.62","2,459","2,244","          1.10"
"부산광역시 금정구 서제2동(2641052000)","8,556","4,724","          1.81","4,278","4,278","          1.00"
"부산광역시 금정구 서제3동(2641053000)","10,480","5,720","          1.83","5,217","5,263","          0.99"
"부산광역시 금정구 금사회동동(2641055500)","7,355","4,074","          1.81","3,851","3,504","          1.10"
"부산광역시 금정구 부곡제1동(2641057000)","7,708","4,300","          1.79","3,719","3,989","          0.93"
"부산광역시 금정구 부곡제2동(2641058000)","17,229","7,872","          2.19","8,158","9,071","          0.90"
"부산광역시 금정구 부곡제3동(2641059000)","15,139","6,835","          2.21","7,211","7,928","          0.91"
"부산광역시 금정구 부곡제4동(2641059100)","12,028","5,989","          2.01","5,744","6,284","          0.91"
"부산광역시 금정구 장전제1동(2641060000)","17,991","11,354","          1.58","9,424","8,567","          1.10"
"부산광역시 금정구 장전제2동(2641061000)","25,790","11,504","          2.24","12,458","13,332","          0.93"
"부산광역시 금정구 선두구동(2641063500)","2,145","1,198","          1.79","1,139","1,006","          1.13"
"부산광역시 금정구 청룡노포동(2641066500)","9,511","4,442","          2.14","4,659","4,852","          0.96"
"부산광역시 금정구 남산동(2641067000)","26,830","13,769","          1.95","13,036","13,794","          0.95"
"부산광역시 금정구 구서제1동(2641068000)","18,892","7,939","          2.38","8,931","9,961","          0.90"
"부산광역시 금정구 구서제2동(2641069000)","31,469","13,218","          2.38","15,041","16,428","          0.92"
"부산광역시 금정구 금성동(2641070000)","944","452","          2.09","467","477","          0.98"
"부산광역시 강서구 (2644000000)","142,777","62,465","          2.29","74,003","68,774","          1.08"
"부산광역시 강서구 대저1동(2644051000)","5,959","3,505","          1.70","3,291","2,668","          1.23"
"부산광역시 강서구 대저2동(2644052000)","6,709","3,579","          1.87","3,766","2,943","          1.28"
"부산광역시 강서구 강동동(2644053000)","3,967","2,443","          1.62","2,117","1,850","          1.14"
"부산광역시 강서구 명지1동(2644053500)","54,389","21,478","          2.53","27,271","27,118","          1.01"
"부산광역시 강서구 명지2동(2644054500)","30,153","10,441","          2.89","15,054","15,099","          1.00"
"부산광역시 강서구 가락동(2644055000)","2,167","1,270","          1.71","1,174","993","          1.18"
"부산광역시 강서구 녹산동(2644056000)","35,124","17,082","          2.06","19,045","16,079","          1.18"
"부산광역시 강서구 가덕도동(2644058000)","4,309","2,667","          1.62","2,285","2,024","          1.13"
"부산광역시 연제구 (2647000000)","203,004","94,650","          2.14","97,058","105,946","          0.92"
"부산광역시 연제구 거제제1동(2647061000)","28,213","11,295","          2.50","13,573","14,640","          0.93"
"부산광역시 연제구 거제제2동(2647062000)","12,652","4,751","          2.66","5,981","6,671","          0.90"
"부산광역시 연제구 거제제3동(2647063000)","9,508","4,609","          2.06","4,485","5,023","          0.89"
"부산광역시 연제구 거제제4동(2647064000)","9,741","4,025","          2.42","4,741","5,000","          0.95"
"부산광역시 연제구 연산제1동(2647065000)","16,246","7,114","          2.28","7,920","8,326","          0.95"
"부산광역시 연제구 연산제2동(2647066000)","21,396","10,122","          2.11","10,122","11,274","          0.90"
"부산광역시 연제구 연산제3동(2647067000)","10,666","5,155","          2.07","5,122","5,544","          0.92"
"부산광역시 연제구 연산제4동(2647068000)","15,528","8,575","          1.81","7,442","8,086","          0.92"
"부산광역시 연제구 연산제5동(2647069000)","16,692","10,600","          1.57","7,842","8,850","          0.89"
"부산광역시 연제구 연산제6동(2647070000)","15,776","7,995","          1.97","7,538","8,238","          0.92"
"부산광역시 연제구 연산제8동(2647072000)","13,462","6,072","          2.22","6,552","6,910","          0.95"
"부산광역시 연제구 연산제9동(2647073000)","33,124","14,337","          2.31","15,740","17,384","          0.91"
"부산광역시 수영구 (2650000000)","174,994","88,321","          1.98","82,136","92,858","          0.88"
"부산광역시 수영구 남천제1동(2650066000)","16,084","7,313","          2.20","7,367","8,717","          0.85"
"부산광역시 수영구 남천제2동(2650067000)","13,390","5,567","          2.41","6,254","7,136","          0.88"
"부산광역시 수영구 수영동(2650073000)","14,113","7,850","          1.80","6,701","7,412","          0.90"
"부산광역시 수영구 망미제1동(2650074000)","26,540","12,380","          2.14","12,588","13,952","          0.90"
"부산광역시 수영구 망미제2동(2650075000)","10,118","4,836","          2.09","4,947","5,171","          0.96"
"부산광역시 수영구 광안제1동(2650076000)","25,533","14,684","          1.74","11,814","13,719","          0.86"
"부산광역시 수영구 광안제2동(2650077000)","18,512","9,885","          1.87","8,581","9,931","          0.86"
"부산광역시 수영구 광안제3동(2650078000)","9,488","6,183","          1.53","4,435","5,053","          0.88"
"부산광역시 수영구 광안제4동(2650079000)","13,402","6,315","          2.12","6,056","7,346","          0.82"
"부산광역시 수영구 민락동(2650080000)","27,814","13,308","          2.09","13,393","14,421","          0.93"
"부산광역시 사상구 (2653000000)","203,445","100,043","          2.03","102,097","101,348","          1.01"
"부산광역시 사상구 삼락동(2653058000)","5,269","2,959","          1.78","2,755","2,514","          1.10"
"부산광역시 사상구 모라제1동(2653059100)","26,508","12,230","          2.17","13,195","13,313","          0.99"
"부산광역시 사상구 모라제3동(2653059300)","9,431","6,350","          1.49","4,455","4,976","          0.90"
"부산광역시 사상구 덕포제1동(2653060000)","11,224","5,430","          2.07","5,698","5,526","          1.03"
"부산광역시 사상구 덕포제2동(2653061000)","12,166","5,663","          2.15","6,158","6,008","          1.02"
"부산광역시 사상구 괘법동(2653062000)","24,462","14,592","          1.68","12,556","11,906","          1.05"
"부산광역시 사상구 감전동(2653064500)","12,251","6,920","          1.77","6,478","5,773","          1.12"
"부산광역시 사상구 주례제1동(2653065000)","16,626","7,148","          2.33","8,411","8,215","          1.02"
"부산광역시 사상구 주례제2동(2653066000)","21,909","11,372","          1.93","10,949","10,960","          1.00"
"부산광역시 사상구 주례제3동(2653066100)","12,280","5,581","          2.20","5,973","6,307","          0.95"
"부산광역시 사상구 학장동(2653067000)","26,683","11,993","          2.22","13,201","13,482","          0.98"
"부산광역시 사상구 엄궁동(2653068000)","24,636","9,805","          2.51","12,268","12,368","          0.99"
"부산광역시 기장군 (2671000000)","179,084","79,812","          2.24","88,679","90,405","          0.98"
"부산광역시 기장군 기장읍(2671025000)","52,280","26,042","          2.01","25,502","26,778","          0.95"
"부산광역시 기장군 장안읍(2671025300)","8,857","5,067","          1.75","4,782","4,075","          1.17"
"부산광역시 기장군 정관읍(2671025600)","80,600","32,084","          2.51","39,906","40,694","          0.98"
"부산광역시 기장군 일광읍(2671025900)","29,655","12,725","          2.33","14,595","15,060","          0.97"
"부산광역시 기장군 철마면(2671033000)","7,692","3,894","          1.98","3,894","3,798","          1.03"
"대구광역시  (2700000000)","2,376,978","1,092,922","          2.17","1,168,087","1,208,891","          0.97"
"대구광역시 중구 (2711000000)","87,387","44,197","          1.98","41,785","45,602","          0.92"
"대구광역시 중구 동인동(2711051700)","8,321","5,018","          1.66","4,122","4,199","          0.98"
"대구광역시 중구 삼덕동(2711054500)","6,556","4,142","          1.58","3,170","3,386","          0.94"
"대구광역시 중구 성내1동(2711056500)","4,885","3,561","          1.37","2,327","2,558","          0.91"
"대구광역시 중구 성내2동(2711057500)","5,086","3,220","          1.58","2,552","2,534","          1.01"
"대구광역시 중구 성내3동(2711058500)","8,237","3,759","          2.19","4,084","4,153","          0.98"
"대구광역시 중구 대신동(2711059500)","7,484","3,262","          2.29","3,617","3,867","          0.94"
"대구광역시 중구 남산1동(2711064000)","4,294","2,509","          1.71","2,022","2,272","          0.89"
"대구광역시 중구 남산2동(2711065000)","7,274","3,348","          2.17","3,445","3,829","          0.90"
"대구광역시 중구 남산3동(2711066000)","6,231","2,780","          2.24","2,819","3,412","          0.83"
"대구광역시 중구 남산4동(2711067000)","16,504","6,923","          2.38","7,737","8,767","          0.88"
"대구광역시 중구 대봉1동(2711068000)","7,821","3,562","          2.20","3,641","4,180","          0.87"
"대구광역시 중구 대봉2동(2711069000)","4,694","2,113","          2.22","2,249","2,445","          0.92"
"대구광역시 동구 (2714000000)","342,627","162,298","          2.11","167,902","174,725","          0.96"
"대구광역시 동구 신암1동(2714051000)","10,676","5,304","          2.01","5,343","5,333","          1.00"
"대구광역시 동구 신암2동(2714052000)","11,112","4,887","          2.27","5,264","5,848","          0.90"
"대구광역시 동구 신암3동(2714053000)","11,014","4,813","          2.29","5,392","5,622","          0.96"
"대구광역시 동구 신암4동(2714054000)","14,970","7,917","          1.89","7,418","7,552","          0.98"
"대구광역시 동구 신암5동(2714054100)","7,783","3,858","          2.02","3,702","4,081","          0.91"
"대구광역시 동구 신천1.2동(2714055500)","12,075","5,957","          2.03","5,668","6,407","          0.88"
"대구광역시 동구 신천3동(2714057000)","14,536","6,392","          2.27","7,169","7,367","          0.97"
"대구광역시 동구 신천4동(2714058000)","8,138","5,046","          1.61","4,007","4,131","          0.97"
"대구광역시 동구 효목1동(2714059000)","12,621","6,757","          1.87","6,235","6,386","          0.98"
"대구광역시 동구 효목2동(2714060000)","13,375","6,631","          2.02","6,382","6,993","          0.91"
"대구광역시 동구 도평동(2714061500)","3,805","2,040","          1.87","2,075","1,730","          1.20"
"대구광역시 동구 불로.봉무동(2714062000)","20,568","8,706","          2.36","10,116","10,452","          0.97"
"대구광역시 동구 지저동(2714064000)","13,609","6,738","          2.02","6,766","6,843","          0.99"
"대구광역시 동구 동촌동(2714065500)","14,924","7,703","          1.94","7,514","7,410","          1.01"
"대구광역시 동구 방촌동(2714067000)","17,964","8,265","          2.17","8,660","9,304","          0.93"
"대구광역시 동구 해안동(2714068500)","14,369","7,086","          2.03","7,171","7,198","          1.00"
"대구광역시 동구 안심1동(2714072000)","39,787","19,405","          2.05","19,319","20,468","          0.94"
"대구광역시 동구 안심2동(2714073000)","13,613","6,135","          2.22","6,786","6,827","          0.99"
"대구광역시 동구 안심3동(2714074200)","21,139","8,594","          2.46","10,218","10,921","          0.94"
"대구광역시 동구 안심4동(2714074700)","27,610","11,751","          2.35","13,605","14,005","          0.97"
"대구광역시 동구 혁신동(2714075500)","17,942","8,556","          2.10","8,841","9,101","          0.97"
"대구광역시 동구 공산동(2714076000)","20,997","9,757","          2.15","10,251","10,746","          0.95"
"대구광역시 서구 (2717000000)","161,149","82,606","          1.95","80,039","81,110","          0.99"
"대구광역시 서구 내당1동(2717051000)","9,960","4,935","          2.02","4,897","5,063","          0.97"
"대구광역시 서구 내당2.3동(2717052500)","8,834","4,752","          1.86","4,259","4,575","          0.93"
"대구광역시 서구 내당4동(2717054000)","15,511","7,875","          1.97","7,414","8,097","          0.92"
"대구광역시 서구 비산1동(2717055000)","8,842","4,694","          1.88","4,483","4,359","          1.03"
"대구광역시 서구 비산2.3동(2717056500)","8,538","4,874","          1.75","4,164","4,374","          0.95"
"대구광역시 서구 비산4동(2717058000)","9,143","4,599","          1.99","4,414","4,729","          0.93"
"대구광역시 서구 비산5동(2717059000)","5,530","3,190","          1.73","2,810","2,720","          1.03"
"대구광역시 서구 비산6동(2717060000)","7,026","3,658","          1.92","3,445","3,581","          0.96"
"대구광역시 서구 비산7동(2717061000)","9,072","5,233","          1.73","4,790","4,282","          1.12"
"대구광역시 서구 평리1동(2717062000)","7,171","3,855","          1.86","3,607","3,564","          1.01"
"대구광역시 서구 평리2동(2717063000)","7,436","3,476","          2.14","3,592","3,844","          0.93"
"대구광역시 서구 평리3동(2717064000)","10,251","5,347","          1.92","5,152","5,099","          1.01"
"대구광역시 서구 평리4동(2717065000)","16,752","8,228","          2.04","8,300","8,452","          0.98"
"대구광역시 서구 평리5동(2717066000)","3,376","1,633","          2.07","1,717","1,659","          1.03"
"대구광역시 서구 평리6동(2717066100)","5,538","2,761","          2.01","2,908","2,630","          1.11"
"대구광역시 서구 상중이동(2717067500)","18,867","8,646","          2.18","9,385","9,482","          0.99"
"대구광역시 서구 원대동(2717069500)","9,302","4,850","          1.92","4,702","4,600","          1.02"
"대구광역시 남구 (2720000000)","140,132","76,207","          1.84","66,999","73,133","          0.92"
"대구광역시 남구 이천동(2720051500)","12,688","5,975","          2.12","5,988","6,700","          0.89"
"대구광역시 남구 봉덕1동(2720053000)","8,503","5,029","          1.69","4,102","4,401","          0.93"
"대구광역시 남구 봉덕2동(2720054000)","12,943","5,705","          2.27","6,112","6,831","          0.89"
"대구광역시 남구 봉덕3동(2720055000)","15,399","8,065","          1.91","7,272","8,127","          0.89"
"대구광역시 남구 대명1동(2720056000)","10,329","5,549","          1.86","5,044","5,285","          0.95"
"대구광역시 남구 대명2동(2720057100)","11,978","7,069","          1.69","5,662","6,316","          0.90"
"대구광역시 남구 대명3동(2720058600)","10,128","6,113","          1.66","4,989","5,139","          0.97"
"대구광역시 남구 대명4동(2720059000)","10,183","5,700","          1.79","4,900","5,283","          0.93"
"대구광역시 남구 대명5동(2720060000)","5,656","3,366","          1.68","2,665","2,991","          0.89"
"대구광역시 남구 대명6동(2720061000)","11,258","5,981","          1.88","5,369","5,889","          0.91"
"대구광역시 남구 대명9동(2720064000)","14,519","8,153","          1.78","7,107","7,412","          0.96"
"대구광역시 남구 대명10동(2720065000)","8,575","4,936","          1.74","4,042","4,533","          0.89"
"대구광역시 남구 대명11동(2720066000)","7,973","4,566","          1.75","3,747","4,226","          0.89"
"대구광역시 북구 (2723000000)","422,571","192,066","          2.20","209,725","212,846","          0.99"
"대구광역시 북구 고성동(2723051000)","7,551","3,389","          2.23","3,722","3,829","          0.97"
"대구광역시 북구 칠성동(2723052600)","22,408","10,188","          2.20","10,719","11,689","          0.92"
"대구광역시 북구 침산1동(2723055000)","3,805","1,976","          1.93","2,015","1,790","          1.13"
"대구광역시 북구 침산2동(2723056000)","17,932","6,838","          2.62","8,644","9,288","          0.93"
"대구광역시 북구 침산3동(2723057000)","18,831","7,420","          2.54","9,022","9,809","          0.92"
"대구광역시 북구 산격1동(2723061000)","8,417","4,987","          1.69","4,171","4,246","          0.98"
"대구광역시 북구 산격2동(2723062000)","10,178","4,633","          2.20","4,973","5,205","          0.96"
"대구광역시 북구 산격3동(2723063000)","8,925","6,150","          1.45","4,708","4,217","          1.12"
"대구광역시 북구 산격4동(2723063100)","7,877","4,370","          1.80","4,126","3,751","          1.10"
"대구광역시 북구 대현동(2723064500)","16,570","8,797","          1.88","8,309","8,261","          1.01"
"대구광역시 북구 복현1동(2723067100)","7,217","5,051","          1.43","4,036","3,181","          1.27"
"대구광역시 북구 복현2동(2723067200)","30,008","12,547","          2.39","14,819","15,189","          0.98"
"대구광역시 북구 검단동(2723068000)","6,018","3,106","          1.94","2,978","3,040","          0.98"
"대구광역시 북구 무태조야동(2723069500)","34,791","14,978","          2.32","17,768","17,023","          1.04"
"대구광역시 북구 관문동(2723071500)","34,543","14,284","          2.42","17,136","17,407","          0.98"
"대구광역시 북구 태전1동(2723072500)","22,142","11,046","          2.00","11,035","11,107","          0.99"
"대구광역시 북구 태전2동(2723073500)","23,309","10,729","          2.17","11,348","11,961","          0.95"
"대구광역시 북구 구암동(2723074500)","33,078","13,276","          2.49","16,145","16,933","          0.95"
"대구광역시 북구 관음동(2723075000)","15,385","7,289","          2.11","7,762","7,623","          1.02"
"대구광역시 북구 읍내동(2723077000)","25,416","11,503","          2.21","12,587","12,829","          0.98"
"대구광역시 북구 동천동(2723078000)","26,527","10,479","          2.53","12,868","13,659","          0.94"
"대구광역시 북구 노원동(2723079000)","10,670","5,479","          1.95","5,552","5,118","          1.08"
"대구광역시 북구 국우동(2723080000)","30,973","13,551","          2.29","15,282","15,691","          0.97"
"대구광역시 수성구 (2726000000)","406,802","171,334","          2.37","196,099","210,703","          0.93"
"대구광역시 수성구 범어1동(2726051000)","15,915","6,167","          2.58","7,550","8,365","          0.90"
"대구광역시 수성구 범어2동(2726052000)","14,772","6,801","          2.17","7,068","7,704","          0.92"
"대구광역시 수성구 범어3동(2726053000)","17,454","6,593","          2.65","8,363","9,091","          0.92"
"대구광역시 수성구 범어4동(2726054000)","19,641","6,640","          2.96","9,712","9,929","          0.98"
"대구광역시 수성구 만촌1동(2726055000)","21,470","8,757","          2.45","10,432","11,038","          0.95"
"대구광역시 수성구 만촌2동(2726056000)","10,373","4,922","          2.11","5,161","5,212","          0.99"
"대구광역시 수성구 만촌3동(2726056100)","20,538","7,366","          2.79","10,724","9,814","          1.09"
"대구광역시 수성구 수성1가동(2726057000)","17,006","6,992","          2.43","7,744","9,262","          0.84"
"대구광역시 수성구 수성2.3가동(2726058000)","11,050","4,473","          2.47","5,363","5,687","          0.94"
"대구광역시 수성구 수성4가동(2726059000)","13,588","5,699","          2.38","6,288","7,300","          0.86"
"대구광역시 수성구 황금1동(2726060100)","22,617","8,163","          2.77","10,800","11,817","          0.91"
"대구광역시 수성구 황금2동(2726060200)","11,747","5,995","          1.96","5,601","6,146","          0.91"
"대구광역시 수성구 중동(2726061000)","13,075","6,545","          2.00","6,500","6,575","          0.99"
"대구광역시 수성구 상동(2726062000)","15,261","7,650","          1.99","7,349","7,912","          0.93"
"대구광역시 수성구 파동(2726063000)","11,790","5,296","          2.23","5,627","6,163","          0.91"
"대구광역시 수성구 두산동(2726064000)","14,597","7,370","          1.98","7,090","7,507","          0.94"
"대구광역시 수성구 지산1동(2726065100)","20,293","10,262","          1.98","9,652","10,641","          0.91"
"대구광역시 수성구 지산2동(2726065200)","18,975","8,369","          2.27","8,940","10,035","          0.89"
"대구광역시 수성구 범물1동(2726066100)","10,637","5,834","          1.82","4,788","5,849","          0.82"
"대구광역시 수성구 범물2동(2726066200)","16,418","6,600","          2.49","7,923","8,495","          0.93"
"대구광역시 수성구 고산1동(2726067000)","31,077","11,759","          2.64","15,008","16,069","          0.93"
"대구광역시 수성구 고산2동(2726068000)","27,234","10,790","          2.52","13,413","13,821","          0.97"
"대구광역시 수성구 고산3동(2726069000)","31,274","12,291","          2.54","15,003","16,271","          0.92"
"대구광역시 달서구 (2729000000)","530,737","236,483","          2.24","260,446","270,291","          0.96"
"대구광역시 달서구 성당동(2729051500)","22,039","10,518","          2.10","10,681","11,358","          0.94"
"대구광역시 달서구 두류1.2동(2729053500)","14,926","8,698","          1.72","7,317","7,609","          0.96"
"대구광역시 달서구 두류3동(2729055000)","8,732","4,410","          1.98","4,205","4,527","          0.93"
"대구광역시 달서구 감삼동(2729055500)","29,303","12,589","          2.33","14,265","15,038","          0.95"
"대구광역시 달서구 죽전동(2729056300)","12,841","6,830","          1.88","6,334","6,507","          0.97"
"대구광역시 달서구 장기동(2729056800)","16,197","7,075","          2.29","7,937","8,260","          0.96"
"대구광역시 달서구 용산1동(2729057100)","29,152","12,322","          2.37","14,576","14,576","          1.00"
"대구광역시 달서구 용산2동(2729057200)","26,930","11,304","          2.38","13,437","13,493","          1.00"
"대구광역시 달서구 이곡1동(2729057600)","21,554","9,099","          2.37","10,739","10,815","          0.99"
"대구광역시 달서구 이곡2동(2729057700)","15,337","7,016","          2.19","7,716","7,621","          1.01"
"대구광역시 달서구 신당동(2729058500)","30,017","17,429","          1.72","15,190","14,827","          1.02"
"대구광역시 달서구 본리동(2729059000)","19,532","8,014","          2.44","9,587","9,945","          0.96"
"대구광역시 달서구 월성1동(2729060100)","40,873","13,377","          3.06","20,021","20,852","          0.96"
"대구광역시 달서구 월성2동(2729060200)","14,718","8,166","          1.80","6,955","7,763","          0.90"
"대구광역시 달서구 진천동(2729061500)","50,991","21,386","          2.38","24,920","26,071","          0.96"
"대구광역시 달서구 유천동(2729061700)","33,857","11,072","          3.06","16,686","17,171","          0.97"
"대구광역시 달서구 상인1동(2729062400)","34,376","12,978","          2.65","16,743","17,633","          0.95"
"대구광역시 달서구 상인2동(2729062500)","18,442","9,093","          2.03","9,093","9,349","          0.97"
"대구광역시 달서구 상인3동(2729062600)","10,426","6,112","          1.71","4,958","5,468","          0.91"
"대구광역시 달서구 도원동(2729062800)","33,472","13,758","          2.43","16,083","17,389","          0.92"
"대구광역시 달서구 송현1동(2729063000)","17,816","9,833","          1.81","8,840","8,976","          0.98"
"대구광역시 달서구 송현2동(2729064000)","16,842","9,079","          1.86","8,062","8,780","          0.92"
"대구광역시 달서구 본동(2729065000)","12,364","6,325","          1.95","6,101","6,263","          0.97"
"대구광역시 달성군 (2771000000)","262,525","114,105","          2.30","133,188","129,337","          1.03"
"대구광역시 달성군 화원읍(2771025000)","46,833","19,973","          2.34","23,236","23,597","          0.98"
"대구광역시 달성군 논공읍(2771025300)","4,538","2,437","          1.86","2,470","2,068","          1.19"
"대구광역시 달성군 논공읍공단출장소(2771025400)","12,077","6,174","          1.96","6,428","5,649","          1.14"
"대구광역시 달성군 다사읍(2771025600)","53,147","20,902","          2.54","26,212","26,935","          0.97"
"대구광역시 달성군 다사읍서재출장소(2771025700)","39,398","15,377","          2.56","19,953","19,445","          1.03"
